smiles,solubility
CC(C)=CCCC(C)=CC(=O),-2.06
CCCC=C,-2.68
CCCCCCCCCCCCCC,-7.959999999999999
CC(C)Cl,-1.41
CCC(C)CO,-0.46999999999999975
CCCCCCCCCC(C)O,-2.94
CCOP(=S)(OCC)SCSCC,-4.11
CCCCCCCO,-1.81
CCCCCCCC(=O)OC,-3.17
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755
ClC(=C)Cl,-1.64
CCCCC=O,-0.8500000000000001
CCCCCCCI,-4.81
OCCCC=C,-0.1499999999999999
CC(C)OC=O,-0.6299999999999999
CCCCCC(C)O,-1.55
CCCCCCC#C,-3.66
CC(C)CCC(C)(C)C,-5.05
CCCC(=O)C,-0.18999999999999995
CCCOC(=O)CC,-0.8199999999999998
CCC(Br)(CC)C(=O)NC(N)=O,-2.68
CCCCC(=O)OCC,-2.25
CC(C)CCOC(=O)C,-1.92
CCCBr,-1.73
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995
NC(=S)N,0.31999999999999984
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67
CCCN(=O)=O,-0.8000000000000003
CCCOC(C)C,-1.34
ClCCl,-0.6299999999999999
COC=O,0.5800000000000001
CC(C)C,-2.55
CCCCC,-3.18
CCCC(=C)C,-3.03
CC(C)C(C)C(C)C,-4.8
CCCCCCCCC=C,-5.51
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.5999999999999996
CCCCCCCBr,-4.43
CCOC(=O)CC(=O)OCC,-0.8199999999999998
CC/C=C/C,-2.54
ClC=C(Cl)Cl,-1.96
CO,1.5699999999999998
CCC(=O)C,0.52
CCCCCCO,-1.24
CCCCCCl,-2.73
C=CC=C,-1.87
CCCOC(=O)C,-0.7200000000000002
NC(=O)CCl ,-0.020000000000000018
CCCCCC=O,-1.3
CC(C)=CCC/C(C)=C\CO,-2.46
CCN(=O)=O,-0.2200000000000002
CCCC(C)(COC(N)=O)COC(N)=O ,-1.807
CI,-1.0
CCCCC(=O)CCCC,-2.58
CCC(C)CC,-3.68
ClCC#N,-0.09200000000000008
CCCCCCCCC(=O)OCC,-3.8
CCC(C)Cl,-1.96
CCCCC#C,-2.36
CCCCCCCC#C,-4.24
CC(C)OC(C)C,-1.1
CNN,1.3400000000000003
CC#C,-0.41000000000000014
CCNP(=S)(OC)OC(=CC(=O)OC(C)C)C,-3.408
C=CC=O,0.5699999999999998
CCCCl,-1.47
CCOC(=O)C,-0.040000000000000036
CCCC(C)(C)C,-4.36
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,-3.896
CC(=C)C=C,-2.03
CC(C)=CCCC(O)(C)C=C,-1.99
OCC(O)C(O)C(O)C(O)CO ,0.06000000000000005
CCCC(=O)CCC,-1.3
CC(=O)C(C)(C)C,-0.7200000000000002
ClC(Cl)(Cl)C#N,-2.168
CCCCCCCCC(=O)C,-3.3
CSC,-0.4500000000000002
CCOC(=O)N,0.8500000000000001
CC(C)C(O)C(C)C,-1.22
CCCCBr,-2.37
CC(C)CC(=O)C,-0.7399999999999998
OCC(O)C(O)C(O)C(O)CO,1.0900000000000003
CCS,-0.5999999999999996
ClCC(Cl)Cl,-1.48
CCCCCCCCl,-4.0
ClC(Cl)C(Cl)Cl,-1.74
CCN(CC)C(=O)C(=CCOP(=O)(OC)OC)Cl,0.5230000000000001
CCCCCCCl,-3.12
CCCCCCCCCCCCCCCCCCCCCCCCCC,-8.334
CC(Cl)Cl,-1.29
ClC(Cl)(Cl)Cl,-2.31
COC(C)(C)C,-0.23999999999999977
CCCCCCCCCCCCCCCCO,-7.0
CCC(C)(C)CO,-1.04
CCCOC(=O)CCC,-1.75
CCCOC=O,-0.48999999999999977
CC(C)CC(C)C,-4.26
CCCCCCCCCC(=O)OCC,-4.1
CCCOCC,-0.6600000000000001
CC(C)O,0.43000000000000016
ClC(Br)Br,-1.9
CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,-3.37
C/C=C/C=O,0.31999999999999984
CCCCCC(=O)OC,-1.87
CCC(=O)OC,-0.14000000000000012
CCCC(=O)OC,-1.92
CCCCCC(=O)OCC,-2.35
CCCCCCC=C,-4.44
CCCC(O)CC,-0.8000000000000003
CCCCCCCC(C)O,-2.74
CCCC(=O)CC,-0.8300000000000001
ClCBr,-0.8900000000000001
CCN(CC)C(=S)SSC(=S)N(CC)CC,-4.86
CCCCCCCCO,-2.39
CCSCC,-1.34
ClCCCl,-1.06
CCC(C)(C)Cl,-2.51
ClCCBr,-1.32
CCCCCCCC=C,-5.05
CCC(C)(O)CC,-0.3599999999999999
CCCCC(C)O,-0.8900000000000001
CCCCCO,-0.5999999999999996
ClCCC#N ,-0.29000000000000004
CC(C)C(C)O,-0.18000000000000016
CCCCCCCCCC(=O)OC,-4.69
